S,1,2;100;80;60;55;90
S,2,2;99.92;79.58;59.93;54.97;90.28
S,3,2;99.84;78.94;60.39;55.15;90.44
S,4,2;100.04;79.73;59.91;55.38;90.38
S,5,2;100.56;80.35;60.93;55.43;90.75;OIL;1200;57.67;PRIVATE;A
S,6,2;100.75;80.54;60.87;56.22;90.68
S,7,2;102.25;82.7;61.99;56.84;91.06
S,8,2;102.11;83.19;60.57;57.28;91.02
S,9,2;102.56;84.59;60.63;57.43;90.71
S,10,2;103.33;86.42;60.63;57.94;90.75;OIL;-1200;57.85;PRIVATE;B
S,11,2;104.09;87.39;61.3;58.44;90.91
S,12,2;104.77;89.15;61.62;58.61;90.9
S,13,2;104.3;88.75;60.49;58.76;90.62;OIL;-1300;58.94;PRIVATE;B
S,14,2;105.14;89.09;62.24;59.09;90.8
S,15,2;104.94;88.54;63.08;58.37;90.86
S,16,2;105.11;89.15;62.81;58.38;91.07
S,17,2;104.82;87.91;63.89;57.65;90.96
S,18,2;106.12;89.44;65.28;58.51;91.43;ML;-1200;65.91;PRIVATE;C
S,19,2;105.91;88.69;65.32;58.37;91.72
S,20,2;105.84;88.26;65.36;58.45;91.54
S,21,2;105.68;89.64;63.51;58.37;91.52;JLG;-1100;89.44;PRIVATE;B
S,22,2;104.96;88.42;63.13;57.75;91.26
S,23,2;104.68;88.7;62.46;57.42;91.08
S,24,2;105.65;90.82;62.91;58.03;91.24;JLG;-1000;90.78;PRIVATE;B
S,25,2;104.96;90.26;61.42;57.99;91.15
S,26,2;104.55;90.03;60.16;58.45;91.08
S,27,2;104.3;88.95;60.56;58.13;91.07
S,28,2;105.52;91.52;61.24;58.59;90.83;ML;1000;60.85;PRIVATE;B
S,29,2;105.74;91.58;61.4;58.44;90.84
S,30,2;105.69;90.89;61.37;59.05;90.81
S,31,2;106.01;91.23;62;59.02;91.06
S,32,2;105.64;90.86;62.05;58.37;90.87;JLG;1200;92.14;PRIVATE;A
S,33,2;106.45;92.02;63.4;58.51;90.91
S,34,2;106.36;92.1;62.26;59.14;90.7
S,35,2;106.43;93.65;61.25;58.9;90.86
