S,1,3;20.5971707866;90.2792921598;11.1925754758;6.98867147703;53.0542790401;27.815791494;1.50544470548;17.154630475;17.9325264276;0.767153596392;-8.72569121514;11.1925754758;6.95965096184;-45.9507043348;27.815791494;21.2774208653;-81.8503528999;17.9325264276;99.0340038901;CALL_80;1;22.2655416203
S,2,3;18.8937282161;88.4273862619;12.8905270287;6.01825675209;48.7609669829;27.9238681044;1.20381876363;14.536559442;16.0909889574;0.950628025971;-10.577597113;12.8905270287;7.87615323696;-50.244016392;27.9238681044;22.8627119235;-84.4684239329;16.0909889574;97.14708689;CALL_120;1;1.42532141613
S,3,3;17.4548654291;86.5801306234;14.4512059616;5.24753475067;44.9956756745;27.7467786036;0.982079755271;12.4702374125;14.488009778;1.13937044366;-12.4248527515;14.4512059616;8.73303644025;-54.0093077004;27.7467786036;24.2685781198;-86.5347459624;14.488009778;95.5194816853;PUT_120;-1;22.0358689328
S,4,3;16.7370260618;85.5479796532;15.2709313654;4.88027330602;43.0746423873;27.5581243218;0.882188807082;11.4921196923;13.6787692108;1.24725447249;-13.4570037217;15.2709313654;9.19149839172;-55.9303409876;27.5581243218;24.9944105678;-87.5128636826;13.6787692108;94.6937582892;CALL_100;1;5.17308970438
S,5,3;16.5923214769;85.3302654264;15.4393193258;4.80765143919;42.6842329072;27.5116139362;0.862889004403;11.2993336487;13.5152070799;1.27022990681;-13.6747179485;15.4393193258;9.28655654405;-56.3207504677;27.5116139362;25.1427907843;-87.7056497262;13.5152070799;94.5260782701;CALL_80;1;16.8412062991
S,6,3;17.1276890942;86.1193948097;14.8215510546;5.07870368042;44.1234129736;27.6693860715;0.935687910097;12.0199698619;14.1196986172;1.18731552706;-12.8855885652;14.8215510546;8.93932678827;-54.8815704014;27.6693860715;24.5973076929;-86.985013513;14.1196986172;95.1443602671;CALL_100;1;5.3427962718
S,7,3;17.6297767348;86.8199859795;14.2555119622;5.33877749463;45.4596491332;27.7823567306;1.00748251003;12.7139843676;14.6844600434;1.11454700396;-12.1849973954;14.2555119622;8.62454443872;-53.5453342417;27.7823567306;24.0942461291;-86.2909990074;14.6844600434;95.7192164308;CALL_80;1;20.080315701
S,8,3;17.1771135458;86.1900207546;14.7652502789;5.10405360965;44.2555409518;27.6819918784;0.942602667079;12.0875124275;14.1754004386;1.17994374599;-12.8149626203;14.7652502789;8.90788048485;-54.7494424231;27.6819918784;24.5474262173;-86.9174709474;14.1754004386;95.2011564997;CALL_120;1;0.948258283082
S,9,3;17.4526527583;86.5770679002;14.4536918583;5.24638489023;44.9897957088;27.746302838;0.981761100256;12.467167417;14.4855224679;1.13968802019;-12.4279154747;14.4536918583;8.73441682713;-54.0151876661;27.746302838;24.2707897121;-86.537815958;14.4855224679;95.516951438;CALL_120;1;1.01612273877
S,10,3;17.986190266;87.295218644;13.8617902111;5.52681113787;46.3998707351;27.8425783118;1.06055799876;13.2171203397;15.0835992173;1.06564080116;-11.7097647309;13.8617902111;8.40725834804;-52.6051126398;27.8425783118;23.7420018839;-85.7878630353;15.0835992173;96.1245361647;PUT_120;1;24.7629079649
